epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,19133,0.44648,0.79296,0.42071,0.90232,0.94921,0.68735,0.75713,0.65999,0.93152,0.6729,0.72335,0.60069,0.5416,1.03235,0.56945,0.99076,0.0003268,0.0003268,0.0003268
104,19380.3,0.43433,0.69819,0.41119,0.91931,0.91451,0.51534,0.56808,0.49737,0.9074,0.5132,0.56681,0.4665,0.56686,1.03753,0.5805,0.99178,0.0003202,0.0003202,0.0003202
105,19612.9,0.43321,0.78804,0.40397,0.92716,0.95814,0.56702,0.62415,0.56449,0.95814,0.56702,0.61513,0.52451,0.56648,1.05385,0.56748,0.99744,0.0003136,0.0003136,0.0003136
106,19847.6,0.45174,0.73121,0.43433,0.92513,0.93868,0.58262,0.64459,0.55276,0.93868,0.58262,0.63007,0.51361,0.55399,1.09109,0.5687,0.99824,0.000307,0.000307,0.000307
107,20084.2,0.45107,0.78128,0.42529,0.91999,0.94322,0.5888,0.65467,0.56197,0.93467,0.58262,0.63437,0.50939,0.55683,1.1359,0.60159,1.00454,0.0003004,0.0003004,0.0003004
108,20323.4,0.467,0.74053,0.42571,0.9453,0.93726,0.57503,0.63823,0.54219,0.92828,0.56886,0.6218,0.50045,0.55262,1.12437,0.56718,1.01908,0.0002938,0.0002938,0.0002938
109,20569.8,0.43848,0.75038,0.44076,0.91434,0.94317,0.58006,0.64998,0.55096,0.9242,0.56771,0.6157,0.50963,0.51839,1.11448,0.5619,1.01151,0.0002872,0.0002872,0.0002872
110,20825.3,0.442,0.72696,0.42903,0.9398,0.94207,0.5807,0.66576,0.57567,0.93173,0.57739,0.64363,0.52122,0.5154,1.07619,0.53874,1.01845,0.0002806,0.0002806,0.0002806
111,21060.9,0.44252,0.74126,0.40842,0.92326,0.93376,0.52607,0.58213,0.51757,0.92362,0.51993,0.57888,0.47806,0.55814,1.04086,0.52581,1.03592,0.000274,0.000274,0.000274
112,21300.8,0.41789,0.6854,0.41122,0.92291,0.91818,0.42709,0.48588,0.45384,0.90708,0.42092,0.48081,0.41713,0.5506,1.03932,0.56694,1.01566,0.0002674,0.0002674,0.0002674
113,21539.5,0.43732,0.68979,0.4167,0.93668,0.90852,0.57898,0.63233,0.55483,0.89043,0.56673,0.61457,0.50227,0.52987,1.06047,0.59551,0.99869,0.0002608,0.0002608,0.0002608
114,21781.9,0.45122,0.73922,0.43216,0.911,0.9342,0.6631,0.71856,0.63124,0.91605,0.65104,0.69347,0.56642,0.51745,1.05617,0.59286,0.99184,0.0002542,0.0002542,0.0002542
115,22033.7,0.43836,0.76326,0.42651,0.91683,0.90941,0.56341,0.62424,0.55168,0.89425,0.55724,0.60663,0.50586,0.53154,1.10607,0.61628,1.00841,0.0002476,0.0002476,0.0002476
116,22272.4,0.40835,0.73889,0.39326,0.90248,0.89286,0.54304,0.58412,0.52302,0.88539,0.53687,0.57358,0.48274,0.51861,1.11568,0.61102,0.99995,0.000241,0.000241,0.000241
117,22486.6,0.40808,0.68285,0.40127,0.9101,0.91094,0.66796,0.7271,0.6349,0.90395,0.66179,0.69487,0.57532,0.52214,1.12452,0.6181,0.99471,0.0002344,0.0002344,0.0002344
118,22711.7,0.39916,0.71553,0.39796,0.9164,0.88339,0.5785,0.63875,0.56901,0.87315,0.57293,0.63024,0.52567,0.54172,1.13348,0.56831,1.01444,0.0002278,0.0002278,0.0002278
119,22942.2,0.41587,0.65579,0.37808,0.91512,0.93047,0.68525,0.73646,0.65164,0.92255,0.67908,0.72957,0.6027,0.57181,1.14159,0.54718,1.03923,0.0002212,0.0002212,0.0002212
120,23169.9,0.41692,0.70416,0.3813,0.89648,0.89061,0.56304,0.63252,0.56565,0.88161,0.55691,0.62597,0.52599,0.56546,1.17154,0.53959,1.04661,0.0002146,0.0002146,0.0002146
121,23409.7,0.41596,0.68334,0.38302,0.91939,0.91756,0.66398,0.72386,0.65067,0.8997,0.65175,0.70623,0.59029,0.56426,1.18843,0.54047,1.03983,0.000208,0.000208,0.000208
122,23628,0.39119,0.68499,0.38272,0.9223,0.82063,0.39573,0.47049,0.44318,0.80997,0.38956,0.46289,0.40392,0.56826,1.18125,0.53807,1.03049,0.0002014,0.0002014,0.0002014
123,23856.3,0.41296,0.64543,0.38266,0.92142,0.94512,0.68707,0.74244,0.65606,0.93743,0.68038,0.73836,0.6078,0.54535,1.14086,0.51864,1.0159,0.0001948,0.0001948,0.0001948
124,24089.5,0.40919,0.68373,0.39494,0.92949,0.92784,0.6217,0.67478,0.60683,0.91816,0.61558,0.66717,0.55131,0.53169,1.10941,0.50796,1.00747,0.0001882,0.0001882,0.0001882
125,24307.4,0.40718,0.67854,0.39203,0.90087,0.92994,0.61812,0.67313,0.60199,0.91954,0.61195,0.66861,0.55315,0.52694,1.09721,0.50984,1.00616,0.0001816,0.0001816,0.0001816
126,24541.3,0.39521,0.6806,0.38818,0.91741,0.96941,0.67003,0.73566,0.65915,0.96941,0.67003,0.73309,0.59378,0.53227,1.08011,0.49753,1.00868,0.000175,0.000175,0.000175
